Код раздела,Наименование раздела на русском языке,Наименование раздела на латинском языке,Синоним названия раздела на латинском языке,Код,Наименование на русском языке,Наименование на латинском языке,Обозначение фармакопеи,Дата начала действия,Вид акта,Номер акта,Дата акта,Дата окончания действия,Вид акта,Номер акта,Дата акта
127,Чабрец,-,,127170,Чабреца трава,Thymi serpylli herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
128,Чага (березовый гриб),-,,128200,Чага (березовый гриб),Inonotus obliquusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
129,Череда трехраздельная,-,,129170,Череды трехраздельной травы ,Bidentis thipartitae herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
130,Черемуха обыкновенная,-,,130110,Черемухи обыкновенной плоды,Padi avii fructusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
131,Черника обыкновенная,-,,131110,Черники обыкновенной плоды,Vaccinii myrtilli fructusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
133,Чилибуха,-,,133140,Чилибухи семена,Strophanthisennaefructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
134,Чистотел большой,-,,134170,Чистотела большого трава,Chelidonii majoris herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
135,Шалфей лекарственный,-,,135090,Шалфея лекарственного листья,Salviae officinalis folia officinalisfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
136,Шиповник,-,,136110,Шиповника плоды,Rosae fructusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
137,Эвкалипт прутовидный,-,,137090,Эвкалипта прутовидного листья ,Eucalypti viminalis foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
138,Эвкалипт шаровидный,-,,138090,Эвкалипта шаровидного листья,Eucalypti globuli foliafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
139,Элеутерококк колючий,-,,139050,Элеутерококка колючего корневища и корни,Eleutherococci senticosi rhizomata et radicesfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
140,Эхинацея пурпурная,-,,140070,Эхинацеи пурпурной корни,Echinaceae purpurae radixfructus,3,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
